region,year,tourism_spending,tourism_spending_prev_year,destination_search,avg_stay_time,avg_lodging_days,visitor_count,date,tourism_spending_recovery_rate
제주특별자치도,2021,2917419692.0,2146768352.0,19703136.0,2594.0,3.085,59284068.0,2021-01-01,1.3589820668271153
제주특별자치도,2022,3466068411.0,2917419692.0,19988089.0,2680.0,3.105,68144188.0,2022-01-01,1.1880595789849766
제주특별자치도,2023,3059665619.0,3466068411.0,15021713.0,2401.5,3.08,60629072.0,2023-01-01,0.8827481908002075
제주특별자치도,2024,2986115465.0,3059665619.0,14069939.0,2169.5,3.085,57928874.0,2024-01-01,0.9759613751439811
제주특별자치도,2025,2656137907.0,2986115465.0,13227183.0,2168.5,3.105,59269886.0,2025-01-01,0.8894960486733892
충청남도,2020,4194194504.0,4622974862.0,15480306.0,1534.7333333333331,2.686,138428948.0,2020-01-01,0.9072501212315699
충청남도,2021,4693177045.0,4194194504.0,18900594.0,1498.8,2.702,142540388.0,2021-01-01,1.118969814233489
충청남도,2022,5459352559.0,4693177045.0,22348831.0,1436.4,2.6486666666666663,157650633.0,2022-01-01,1.1632530600600857
충청남도,2023,5450421112.0,5459352559.0,23475367.0,1483.0,2.6633333333333336,164815175.0,2023-01-01,0.99836400985218
충청남도,2024,5494785074.0,5450421112.0,27284028.0,1349.0,2.69,165468408.0,2024-01-01,1.0081395475851078
충청남도,2025,5486583699.0,5494785074.0,25244070.0,1409.9333333333334,2.7373333333333334,175403844.0,2025-01-01,0.9985074256973567
충청북도,2020,4432063063.0,4902276467.0,9225772.0,1459.5454545454545,2.6954545454545453,93383798.0,2020-01-01,0.9040826425916056
충청북도,2021,4768387368.0,4432063063.0,11690068.0,1393.3636363636365,2.700909090909091,96151230.0,2021-01-01,1.0758843681191546
충청북도,2022,5505145839.0,4768387368.0,14151463.0,1382.3636363636365,2.665454545454545,107613782.0,2022-01-01,1.1545089385867193
충청북도,2023,5504526421.0,5505145839.0,15126705.0,1345.6363636363635,2.6545454545454543,112764396.0,2023-01-01,0.9998874838163938
충청북도,2024,5451966174.0,5504526421.0,17963251.0,1202.1818181818182,2.663636363636364,115004435.0,2024-01-01,0.9904514497742294
충청북도,2025,5507617733.0,5451966174.0,16634428.0,1227.090909090909,2.705454545454545,122791739.0,2025-01-01,1.010207612671076
