region,year,tourism_spending,tourism_spending_prev_year,destination_search,avg_stay_time,avg_lodging_days,visitor_count,date,tourism_spending_recovery_rate,tourism_spending_growth_rate,visitor_score,spending_score,search_score,stay_time_score,lodging_score,tourism_recovery_index,tourism_consumption_share,spending_per_visitor,visitor_per_search
경기도,2024,37739892525.0,37797440277.0,157174855.0,1109.0645161290322,2.855483870967742,625437908.0,2024-01-01,0.9984774695963997,-0.0015225304036003253,0.9455981631606591,0.8139133403922063,1.0,0.14127202794890725,0.5123463276242514,0.7932152866231755,0.24332564036492343,60.341549564341406,3.9792491489812414
경기도,2025,37294288701.0,37739892525.0,149636932.0,1140.354838709677,2.915483870967742,660044175.0,2025-01-01,0.9881927638319368,-0.011807236168063253,1.0,0.8041978089088309,0.9514360365092377,0.15837640653757545,0.62961017127246,0.8103452077555005,0.24361794933044378,56.50271620229055,4.410971049580193
경상남도,2020,4606978652.0,5046812959.0,15548967.0,1501.4444444444443,2.685555555555556,139194072.0,2020-01-01,0.9128490969304417,-0.08715090306955836,0.18121182151314147,0.09151409125762519,0.08755840910303879,0.3557605435979197,0.18023887079261797,0.15292939709089154,0.03866828111939735,33.09752050360306,8.951981954814105
경상남도,2021,4963763241.0,4606978652.0,18327070.0,1446.1666666666667,2.7033333333333336,140211858.0,2021-01-01,1.077444376445094,0.07744437644509407,0.18281180419573956,0.09929309071974081,0.10545666737200456,0.32554378772349396,0.21498371335504946,0.15977555205689936,0.03893371883105023,35.401879069315235,7.650533227624492
경상남도,2022,5679435819.0,4963763241.0,21358632.0,1399.6666666666667,2.643333333333333,149980943.0,2022-01-01,1.1441794346854908,0.14417943468549088,0.19816902744780693,0.11489695022195966,0.12498786532772557,0.3001252704703337,0.09771986970684003,0.1587018803841925,0.03801220468746404,37.86771642714635,7.022029453946302
경상남도,2023,5573032874.0,5679435819.0,22131964.0,1375.8333333333333,2.6416666666666666,155312930.0,2023-01-01,0.9812652262670106,-0.01873477373298934,0.2065510319790523,0.11257703933611554,0.12997014851292635,0.28709714155563143,0.09446254071661238,0.15988841932436001,0.036357319618044656,35.882607288395114,7.01758461201184
경상남도,2024,5569019559.0,5573032874.0,25779078.0,1276.4444444444443,2.6666666666666665,157232103.0,2024-01-01,0.9992798687732988,-0.0007201312267012477,0.2095680154754944,0.11248953674718982,0.1534671132793014,0.23276771817940245,0.1433224755700324,0.16491970769760902,0.03590591174844525,35.41909987046348,6.099213594838419
경상남도,2025,5648752031.0,5569019559.0,24774686.0,1286.8333333333333,2.710555555555556,166687846.0,2025-01-01,1.0143171470588832,0.014317147058883224,0.224432657994745,0.11422794943631286,0.14699619862304747,0.23844664616786237,0.229098805646038,0.1777519671353169,0.03689941366361279,33.8882058083587,6.728151710984349
경상북도,2020,4102416024.0,4667035383.0,13342115.0,1842.272727272728,2.731818181818182,152541333.0,2020-01-01,0.879019696088728,-0.12098030391127206,0.20219401861559397,0.0805130768281156,0.07334050319480441,0.5420691368761068,0.27065442700621883,0.18075258566030633,0.03443327787418459,26.893799492364472,11.433069869357295
경상북도,2021,4803529317.0,4102416024.0,17471020.0,1800.590909090909,2.7345454545454544,161251041.0,2021-01-01,1.1709025337504386,0.17090253375043857,0.2158858771894847,0.0957994992165252,0.09994146365524238,0.5192844053793831,0.27598460171750056,0.19302080636253982,0.03767690978490502,29.789136784549502,9.229629466396352
경상북도,2022,5495941826.0,4803529317.0,20638967.0,1853.5454545454545,2.7113636363636364,177343260.0,2022-01-01,1.144146618726674,0.14414661872667406,0.24118321054303424,0.11089621780005439,0.12035133815895781,0.5482312016647514,0.23067811667160223,0.20758502796835349,0.03678408776826198,30.990418389737506,8.592642257725398
경상북도,2023,5433864744.0,5495941826.0,21140195.0,1676.4545454545455,2.6681818181818184,180116114.0,2023-01-01,0.988704923748223,-0.011295076251776906,0.24554219993901025,0.10954274681959197,0.12358055903220734,0.451427151597975,0.14628368374296774,0.1910126793681164,0.035449415376772174,30.168676323985093,8.52007817335649
경상북도,2024,5386215895.0,5433864744.0,23557272.0,1466.6363636363635,2.683181818181818,178592992.0,2024-01-01,0.9912311308350814,-0.008768869164918617,0.24314781759981108,0.10850385561697497,0.13915286445140057,0.3367332360157778,0.17559964465501923,0.18455936292239566,0.03472729634633755,30.15916713574069,7.5812255340941
경상북도,2025,5454552247.0,5386215895.0,22898763.0,1479.3636363636365,2.727272727272727,187787058.0,2025-01-01,1.012687265667059,0.012687265667058821,0.2576010979383732,0.10999379790103181,0.13491034207032315,0.3436904059384415,0.2617708024874146,0.19780665800847175,0.03563083998151903,29.046475859907236,8.200751193415993
광주광역시,2020,2495440190.0,2859690182.0,4050259.0,1367.2,2.898,56610108.0,2020-01-01,0.872626064776971,-0.127373935223029,0.051387956515683085,0.04547606981120436,0.01347661820348506,0.28237786129142467,0.5954397394136811,0.11953629160927383,0.020945263712405484,44.081176986979074,13.97691061238306
광주광역시,2021,2687549060.0,2495440190.0,5111334.0,1284.4,2.942,56231056.0,2021-01-01,1.0769839608938894,0.07698396089388942,0.050792078172097924,0.04966463300163308,0.02031271981409592,0.23711650153741037,0.6814332247557007,0.1260545299442496,0.02108003028476703,47.79474637645077,11.001248597724194
